"unique_storm_number","sub_storms","suspended_sediment_load_pounds","chloride_load_pounds","no2_no3n_load_pounds","ammonium_n_load_pounds","tkn_unfiltered_load_pounds","orthophosphate_load_pounds","tp_unfiltered_load_pounds","organic_nitrogen_load_pounds","sum_runoff","sample_start","sample_end","storm_start","storm_end","peak_discharge","runoff_volume","frozen"
1,"East SW1-1",26.8,1.3,0.26,0.06,0.31,0.03,0.07,0.26,1547,2012-01-31 12:00:00,2012-01-31 20:15:00,2012-01-31 12:00:00,2012-01-31 21:00:00,0.09,1547,1
3,"East SW1-2a,East SW1-2b",76.1,0.9,0.42,0.07,0.38,0.02,0.08,0.32,2643,2012-02-29 04:45:00,2012-02-29 17:15:00,2012-02-29 04:30:00,2012-02-29 17:30:00,0.08,2643,1
4,"East SW1-3",794.2,5.8,2.01,0.08,2.21,0.06,0.82,2.13,5365,2012-03-06 21:15:00,2012-03-07 13:50:00,2012-03-06 21:00:00,2012-03-07 13:55:00,0.19,5365,1
5,"East SW1-4",276.8,1.9,0.7,0.03,1.04,0.02,0.39,1.01,1106,2012-03-07 21:05:00,2012-03-08 05:30:00,2012-03-07 21:00:00,2012-03-08 05:45:00,0.22,1106,1
6,"East SW1-5a,East SW1-5b,East SW1-5c",237.1,8.7,3.33,0.02,1.01,0.03,0.26,0.98,3076,2012-03-12 01:40:00,2012-03-13 03:30:00,2012-03-12 01:35:00,2012-03-13 03:45:00,0.12,3076,0
9,"East SW1-6",984.4,12.1,6.94,0.04,3.57,0.05,0.98,3.53,9737,2012-04-19 20:40:00,2012-04-20 22:00:00,2012-04-19 20:35:00,2012-04-20 02:55:00,0.61,9737,0
12,"East SW1-7",116.6,0.4,0.11,0,0.36,0,0.12,0.36,294,2012-05-02 05:43:00,2012-05-02 07:01:00,2012-05-02 05:42:00,2012-05-02 07:02:00,0.23,294,0
13,"32",25340.7,18.1,14.9,0.06,64.7,0.32,20.26,64.64,34093,2012-05-02 23:57:00,2012-05-03 09:50:00,2012-05-02 23:56:00,2012-05-03 09:50:00,8.09,34093,0
16,"East SW1-10",6968.5,11.9,3.2,0.15,21.15,0.15,11.82,20.99,12830,2012-05-06 09:20:00,2012-05-07 18:15:00,2012-05-06 09:15:00,2012-05-07 18:30:00,1.43,12830,0
22,"ESW1-11",71,29.4,9.99,0.81,2.94,0.1,0.31,2.13,1348,2012-06-18 17:47:00,2012-06-19 06:15:00,2012-06-18 17:46:00,2012-06-19 06:30:00,0.16,1348,0
27,"ESW1-12",130.5,0.8,0.28,0.02,0.44,0.02,0.14,0.42,726,2012-07-17 15:43:00,2012-07-17 17:12:00,2012-07-17 15:39:00,2012-07-17 17:15:00,0.75,726,0
30,"ESW1-13",332,4.1,0.7,0.04,1.2,0.07,0.34,1.16,1780,2012-07-25 19:27:00,2012-07-25 23:45:00,2012-07-25 19:27:00,2012-07-25 23:45:00,1.21,1780,0
32,"ESW1-14",90.3,3.6,0.21,0.02,0.55,0.06,0.18,0.53,1028,2012-07-26 13:56:00,2012-07-26 17:30:00,2012-07-26 13:53:00,2012-07-26 17:31:00,0.53,1028,0
37,"ESW1-15",56.5,1.3,0.05,0.01,0.3,0.03,0.1,0.29,1002,2012-08-04 16:49:00,2012-08-04 19:26:00,2012-08-04 16:48:00,2012-08-04 19:27:00,0.75,1002,0
38,"EST1-11",62.4,19.2,3.91,0.08,2.41,0.62,0.96,2.33,8692,2012-08-09 07:42:00,2012-08-10 15:45:00,2012-08-09 07:40:00,2012-08-10 16:00:00,0.42,8692,0
41,"ESW1-17",136,18,2.39,0.03,2.06,0.72,0.92,2.02,10938,2012-10-14 04:45:00,2012-10-15 18:30:00,2012-10-14 04:30:00,2012-10-15 18:45:00,0.49,10938,0
42,"ESW1-18",141.8,16.2,1.72,0.04,1.83,0.5,0.7,1.79,6204,2012-10-17 21:28:00,2012-10-18 13:13:00,2012-10-17 21:15:00,2012-10-19 15:00:00,0.56,6204,0
44,"ESW1-19",68.4,8.9,0.52,0.13,0.98,0.09,0.28,0.85,1547,2012-11-11 17:41:00,2012-11-12 10:00:00,2012-11-11 17:30:00,2012-11-12 10:15:00,0.08,1547,0
47,"ESW1-20",159.4,101.9,41.52,0.62,3.04,0.57,0.91,2.42,16796,2013-01-10 20:00:00,2013-01-13 14:30:00,2013-01-10 19:55:00,2013-01-13 14:45:00,0.21,16796,1
48,"ESW1-21",122.4,10.7,5.08,0.71,3.11,0.67,0.91,2.4,14524,2013-01-29 01:00:00,2013-01-30 06:45:00,2013-01-29 00:00:00,2013-01-30 08:15:00,0.6,14524,1
50,"ESW1-22",420.9,12.9,3.15,1.57,3.69,0.5,0.79,2.12,45870,2013-03-09 21:15:00,2013-03-13 00:35:00,2013-03-09 21:10:00,2013-03-13 00:40:00,0.88,45870,1
52,"ESW1-23a",92.9,8.4,2.14,0.91,3.02,0.36,0.58,2.11,17107,2013-03-27 10:00:00,2013-03-28 09:29:00,2013-03-27 10:00:00,2013-03-28 09:29:00,0.66,17107,1
53,"ESW1-23b",1442.5,33.2,5.16,2.19,9.14,0.95,2.31,6.95,33057,2013-03-28 09:29:00,2013-03-30 09:28:00,2013-03-28 09:29:00,2013-03-30 09:28:00,0.79,33057,1
54,"ESW1-23c",3131.2,45.4,7.36,2.22,15.98,0.99,4.35,13.75,25091,2013-03-30 09:28:00,2013-04-01 00:26:00,2013-03-30 09:28:00,2013-04-01 00:26:00,0.48,25091,1
56,"ESW1-23d",48.3,17.6,0.35,0.24,1.17,0.19,0.37,0.93,3534,2013-04-06 09:12:00,2013-04-07 08:12:00,2013-04-06 09:12:00,2013-04-07 08:12:00,0.08,3534,1
58,"ESW1-24a",73.6,17.3,1.07,0.19,1.21,0.14,0.31,1.03,3292,2013-04-08 09:12:00,2013-04-09 09:41:00,2013-04-08 09:12:00,2013-04-09 09:41:00,0.08,3292,1
59,"ESW1-24b",1596.2,38.1,9.46,0.57,10.36,0.38,3.05,9.79,10377,2013-04-09 09:42:00,2013-04-09 23:56:00,2013-04-09 09:41:00,2013-04-09 23:56:00,1.06,10377,1
60,"ESW1-24c",1622.7,99.1,42.55,1.79,11.47,1.17,2.92,9.68,33411,2013-04-09 23:57:00,2013-04-11 08:42:00,2013-04-09 23:56:00,2013-04-11 08:42:00,1.4,33411,1
61,"ESW1-24d",243.6,66.4,21.51,0.71,3.56,0.51,0.85,2.84,16330,2013-04-11 08:43:00,2013-04-13 23:18:00,2013-04-11 08:42:00,2013-04-13 23:18:00,0.18,16330,1
63,"ESW1-24e",1472.8,27.6,8.45,0.28,6.37,0.25,1.75,6.1,7914,2013-04-15 01:47:00,2013-04-15 18:00:00,2013-04-15 01:47:00,2013-04-15 18:00:00,0.57,7914,1
