"stormnum","rain_startdate","rain_enddate","rain","duration","Ievent","I5","I10","I15","I30","I60","energy_m1","erosivity_m1","energy_m2","erosivity_m2","ARFdays1","ARFdays2","ARFdays7","ARFdays14","unique_storm_number"
1,2013-01-10 19:21:00,2013-01-11 07:21:00,0.261,12,0.02175,0.216,0.162,0.144,0.126,0.09,101.215609483981,0.127531667949817,117.531909669698,0.14809020618382,0,0,0,0,1
2,2013-01-29 01:29:00,2013-01-30 00:38:00,0.64,23.15,0.027645788336933,0.756,0.594,0.504,0.396,0.324,395.309769652647,1.56542668782448,405.397683427883,1.60537482637442,0,0,0,0,3
3,2013-03-09 16:08:00,2013-03-15 13:30:00,1.179,140.366666666667,0.00839943006411779,0.216,0.216,0.18,0.144,0.126,497.33852971689,0.716167482792322,581.617737191695,0.837529541556041,0,0,0,0,5
4,2013-03-27 08:00:00,2013-03-27 08:01:00,0,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018,7
5,2013-03-28 07:43:00,2013-03-28 07:44:00,0,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018,8
6,2013-03-30 11:02:00,2013-03-30 23:35:00,0.081,12.55,0.00645418326693227,0.108,0.108,0.108,0.072,0.054,34.6067811366747,0.0249168824184058,37.0552774975682,0.0266797997982491,0,0,0,0,9
7,2013-04-06 10:15:00,2013-04-06 11:35:00,0.036,1.33333333333333,0.027,0.108,0.054,0.072,0.036,0.036,17.3832406168961,0.00625796662208261,18.9333585187981,0.00681600906676733,0,0,0.081,0.081,11
8,2013-04-08 09:12:00,2013-04-08 12:45:00,0.207,3.55,0.0583098591549296,0.216,0.162,0.144,0.108,0.09,89.1507629591815,0.096282823995916,109.48617975267,0.118245074132884,0,0.036,0.036,0.117,13
9,2013-04-09 09:38:00,2013-04-09 15:50:00,0.549,6.2,0.0885483870967742,0.54,0.486,0.432,0.36,0.306,338.196839555334,1.2175086223992,372.219226129537,1.33998921406633,0.189,0.207,0.243,0.324,14
10,2013-04-09 22:22:00,2013-04-10 14:31:00,0.32,16.15,0.0198142414860681,2.652,1.38,0.92,0.46,0.239,281.474028064992,1.29478052909896,272.613200373064,1.2540207217161,0.549,0.756,0.792,0.873,15
11,2013-04-11 03:30:00,2013-04-12 08:32:00,0.162,29.0333333333333,0.00557979334098737,0.108,0.108,0.072,0.054,0.054,60.8403724636245,0.0328538011303572,55.0474690449457,0.0297256332842707,0.311,0.869,1.112,1.193,16
12,2013-04-14 10:15:00,2013-04-15 15:32:00,0.387,29.2833333333333,0.0132157085941946,0.648,0.648,0.468,0.324,0.207,238.146965677469,0.771596168795001,247.953951857999,0.803370804019918,0,0,1.238,1.274,18
13,2013-04-17 13:30:00,2013-04-19 09:42:00,0.342,44.2,0.00773755656108597,0.216,0.162,0.144,0.144,0.117,144.080817394739,0.207476377048424,154.215118338039,0.222069770406776,0,0.018,0.788,1.661,19
14,2013-05-02 14:55:00,2013-05-03 21:07:00,1.847,30.2,0.061158940397351,0.972,0.708,0.616,0.524,0.379,1203.60618884504,6.30689642954801,1279.61819668818,6.70519935064607,0,0,0,0.027,22
15,2013-06-15 20:40:00,2013-06-16 02:03:00,0.627,5.38333333333333,0.116470588235294,1.584,1.062,0.78,0.54,0.36,508.43696630821,2.74555961806433,508.505883055717,2.74593176850087,0,0,0,0,24
16,2013-06-21 08:58:00,2013-06-21 11:23:00,0.343,2.41666666666667,0.141931034482759,0.66,0.492,0.364,0.236,0.162,206.081262516278,0.486351779538417,233.595567145133,0.551285538462513,0,0,0.627,0.627,26
17,2013-06-22 22:55:00,2013-06-23 02:28:00,0.351,3.55,0.0988732394366197,0.864,0.702,0.648,0.45,0.279,243.781419081422,1.0970163858664,250.429204765139,1.12693142144313,0,0.343,0.352,0.97,27
18,2013-07-08 05:19:00,2013-07-08 10:09:00,1.798,4.83333333333333,0.372,2.316,1.818,1.464,1.008,0.9,1662.22390863089,16.7552169989994,1594.61523959384,16.0737216151059,0,0,0,0,28
19,2013-07-09 12:44:00,2013-07-09 13:32:00,0.09,0.8,0.1125,0.432,0.324,0.216,0.144,0.09,55.2676937527419,0.0795854790039483,60.9315271521251,0.0877413990990601,0,1.798,1.798,1.798,29
20,2013-10-31 13:19:00,2013-11-01 08:25:00,1.152,19.1,0.0603141361256544,0.432,0.378,0.324,0.252,0.18,590.60533660307,1.48832544823974,698.5112154755,1.76024826299826,0,0,0,0,35
21,2013-11-05 16:10:00,2013-11-06 10:22:00,0.855,18.2,0.046978021978022,0.216,0.162,0.18,0.144,0.117,373.453640281555,0.53777324200544,455.240845426703,0.655546817414453,0,0,1.152,1.152,36
22,2013-11-16 17:01:00,2013-11-16 20:09:00,0.299,3.13333333333333,0.0954255319148936,0.996,0.714,0.548,0.328,0.182,200.28631746667,0.656939121290678,211.776317185959,0.694626320369946,0,0,0,0.855,38
