"unique_storm_number","sin_sdate","cos_sdate","tmax","tmin","snwd_diff"
1,0.493775550159977,0.869589389346611,8.3,-6.7,0
3,0.849817091527528,0.527077708642372,3.9,0,2.0078751
4,0.907013812802636,0.42110087079609,14.4,-2.8,-5.0000027
5,0.914127988185334,0.405425728359997,14.4,-1.1,-5.0000027
6,0.939856057941895,0.341570769167856,15.6,3.9,0
9,0.948361580012172,-0.317191288589106,10.6,1.7,0
12,0.863142128049911,-0.50496105472152,26.7,10.6,0
13,0.854322169749827,-0.519743812155515,26.7,10.6,0
16,0.82635419872391,-0.563150724274919,18.3,8.3,0
22,0.230305670230613,-0.973118337233262,32.8,18.9,0
27,-0.263665492728007,-0.964614175691244,32.8,20.6,0
30,-0.409355958815621,-0.912374757970727,32.8,18.9,0
32,-0.409355958815621,-0.912374757970727,28.3,18.9,0
37,-0.545240438540651,-0.838279705217775,30.6,18.9,0
38,-0.615284599963327,-0.788305055830526,23.3,13.3,0
41,-0.974100455172421,0.226115685508288,12.8,2.8,0
42,-0.956234826591906,0.292600335633348,20.6,5.6,0
44,-0.758305808478563,0.651898995878712,17.8,-3.3,0
47,0.188226709843243,0.982125605868001,7.2,-11.7,-7.0078778
48,0.478733840115788,0.877960084700888,7.2,-8.9,3.9763801
50,0.927541683579196,0.37371971479047,3.3,-6.7,-2.9921276
52,0.995918996147179,0.0902516100310421,7.2,-3.3,-2.0078751
53,0.997324973108155,0.0730951298980782,8.9,-3.3,-3.0314977
54,0.999250011239683,0.0387222808921754,7.2,-4.3,-2.0078751
56,0.99665890175417,-0.0816763953304215,10,-1,0
58,0.993256849267414,-0.1159345995955,3.9,0,0
59,0.991114063993455,-0.133014706534195,2.8,0,0
60,0.98867759023234,-0.150055398344652,2.8,-0.5,1.968505
61,0.985948149963831,-0.167051625502118,3.9,-0.5,0
63,0.972118196629062,-0.234491389570408,15.6,3.3,-1.968505
65,0.963470548564149,-0.267814305162174,7.8,-2.1,0
68,0.863142128049912,-0.504961054721519,22.8,1.7,0
73,-0.111659007121694,-0.993746580436178,28.3,19.4,0
77,-0.858763958275803,0.512371412128423,14.4,6.1,0
79,-0.811539059007362,0.584298173628367,12.2,-0.5,0
81,-0.687052767223668,0.726607524768564,14.4,-2.1,0
85,0.927541683579196,0.373719714790471,11.7,-15.5,-7.086618
86,0.951056516295153,0.309016994374948,6.7,-14.9,-3.93701
87,0.970063921851507,0.242849722095937,5,-8.8,-5.118113
89,0.995918996147179,0.0902516100310432,5,-0.5,-3.149608
90,0.997324973108155,0.0730951298980785,11.1,-4.3,0
92,0.982926551979983,-0.183998351657678,10,2.8,0
93,0.97961369164549,-0.200890555130635,10,2.8,0
94,0.97961369164549,-0.200890555130635,10,-4.9,1.968505
95,0.976010550632369,-0.217723230396531,3.3,-4.9,1.968505
98,0.763888612790544,-0.645348113229549,18.9,8.9,0
101,0.486272707108691,-0.87380710361108,30,18.3,0
102,0.486272707108691,-0.87380710361108,30,18.3,0
103,0.486272707108691,-0.87380710361108,25.6,18.9,0
104,0.486272707108691,-0.87380710361108,25.6,16.1,0
105,0.230305670230614,-0.973118337233261,23.3,16.7,0
108,-0.655156357209083,-0.755493314072682,22.8,11.7,0
111,-0.903355802324684,-0.428891937912485,25,13.3,0
112,-0.903355802324684,-0.428891937912485,23.9,10.6,0
114,-0.982926551979982,-0.183998351657683,23.9,4.4,0
115,-0.98594814996383,-0.167051625502123,15,4.4,0
117,-0.999250011239684,0.0387222808921717,17.8,5,0
118,-0.974100455172421,0.226115685508287,16.7,8.9,0
131,0.991114063993455,-0.133014706534195,5,2.2,0
132,0.988677590232341,-0.150055398344652,5,2.2,0
133,0.988677590232341,-0.150055398344652,10,1.7,0
134,0.70558361010718,-0.708626678264457,23.3,13.3,0
135,0.61528459996333,-0.788305055830523,25.6,12.2,0
136,0.530730048161936,-0.84754092289283,18.3,3.9,0
138,0.329408482224533,-0.944187508834199,21.1,13.3,0
139,0.280230675199217,-0.959932689659744,27.2,13.3,0
141,-0.924290722193092,-0.381689220266663,23.3,17.2,0
142,-0.97961369164549,-0.200890555130638,21.7,9.4,0
146,-0.566701756291121,0.823923005757552,10,-7.7,0
147,-0.49377555015998,0.86958938934661,5.6,-2.1,0
150,-0.304921224656291,0.952377575730397,12.8,5,0
151,-0.304921224656291,0.952377575730397,12.8,0.6,0
153,-0.255353295116191,0.966847813605277,8.9,-3.2,0
154,-0.137278772113269,0.990532452132222,11.7,-1,0
156,0.769414826883936,0.63874942205153,6.7,-1.6,-3.93701
157,0.780295851070773,0.625410572985249,1.1,-3.8,-1.968505
160,0.914127988185333,0.405425728359998,15,0,-3.149608
161,0.914127988185333,0.405425728359998,18.9,3.9,-1.968505
162,0.920971287716634,0.38963044953079,18.9,2.8,0
163,0.927541683579196,0.373719714790471,12.8,-0.5,0
165,0.951056516295153,0.309016994374948,10.6,2.8,0
166,0.9611297838723,0.276096973097471,10.6,1.1,0
167,0.995918996147179,0.0902516100310419,7.2,-4.3,-5.118113
168,0.997324973108155,0.073095129898079,12.2,1.7,-5.118113
169,0.99999073973619,0.00430353829624771,6.1,0.6,0
170,0.99999073973619,0.00430353829624771,8.9,-1,0
177,0.263665492728009,-0.964614175691243,24.4,13.9,0
178,0.0773864792334671,-0.997001169925015,30.6,20.6,0
181,-0.47115950767386,-0.882048024955856,24.4,15.6,0
185,-0.94276114339042,-0.333468778918189,21.7,10,0
191,-0.991114063993454,-0.133014706534197,22.8,13.9,0
192,-0.899630869652244,0.436651231956062,9.4,4.4,0
193,-0.523415607365552,0.852077521101308,10,6.7,0
194,-0.523415607365552,0.852077521101308,10,-0.5,0
197,-0.0688024268023225,0.997630305306585,7.2,-6.6,-5.905515
200,0.35367612217637,0.935367949313149,3.9,0.6,-0.787402
201,0.369724542890671,0.929141411403175,4.4,1.7,-1.181103
202,0.385663406243604,0.922639548840489,4.4,1.7,-1.968505
203,0.40148798920597,0.915864288267288,6.7,0.6,-1.968505
206,0.711656622281772,0.70252747416916,7.2,-1.6,-1.181103
207,0.746972087696554,0.664855397964288,11.1,-2.1,0
208,0.758305808478558,0.651898995878718,13.9,3.3,0
209,0.769414826883935,0.63874942205153,13.9,0,0
210,0.780295851070775,0.625410572985247,15,1.1,0
213,0.8587639582758,0.512371412128428,5,0.6,-1.968505
214,0.867456354729596,0.497513288907182,5,-7.1,-3.149608
215,0.899630869652242,0.436651231956068,15,-0.5,-5.118113
216,0.914127988185332,0.405425728360002,15,1.7,0
218,0.992222209417932,0.124479263886793,5,1.7,0
219,0.994217906893952,0.107381346664164,3.9,1.7,0
220,0.995918996147179,0.0902516100310457,6.7,1.7,0
221,0.999768501979891,0.021516097436229,11.1,0,0
222,0.997917160865393,-0.0645084494493103,16.7,3.3,0
223,0.967937783024065,-0.251190063884818,23.3,10,0
224,0.96347054856415,-0.267814305162169,23.3,7.8,0
225,0.942761143390421,-0.333468778918187,8.9,5,0
226,0.895839290734909,-0.444378178104613,10.6,3.3,0
227,0.863142128049913,-0.504961054721518,13.3,3.9,0
228,0.863142128049913,-0.504961054721518,13.3,3.9,0
229,0.440518784350501,-0.897743393534231,30,14.4,0
230,0.145799196919877,-0.989314203970366,25,16.1,0
231,0.145799196919877,-0.989314203970366,25,16.1,0
232,0.145799196919877,-0.989314203970366,25.6,15.6,0
233,-0.111659007121688,-0.993746580436179,27.8,10.6,0
234,-0.263665492728006,-0.964614175691244,28.3,12.2,0
235,-0.545240438540648,-0.838279705217776,20,13.9,0
236,-0.545240438540648,-0.838279705217776,20,11.7,0
237,-0.559589262410176,-0.828770087174504,20,11.7,0
239,0.213520915439803,-0.97693849277718,24.4,18.9,0
240,-0.84524905735306,-0.534372558280984,27.2,13.9,0
241,-0.903355802324682,-0.428891937912489,31.1,20,0
242,-0.910604630094215,-0.413278607782907,25,10,0
244,-0.98867759023234,-0.150055398344658,21.1,6.1,0
