"unique_storm_number","ant_discharge_date","ant_dis_1day_max","ant_dis_2day_mean","ant_dis_2day_max","ant_dis_3day_mean","ant_dis_3day_max","ant_dis_7day_mean","ant_dis_7day_max","ant_dis_14day_mean","ant_dis_14day_max"
1,2012-12-27 19:53:00,3.7,3.7,3.7,3.71666666666667,3.75,3.73285714285714,3.82,3.88,4.44
3,2013-01-15 02:49:00,27,16,27,11.6666666666667,27,6.42857142857143,27,6.94285714285714,27
5,2013-02-23 17:31:00,17,15.5,17,14.6666666666667,17,14.1428571428571,17,15.1428571428571,17
7,2013-03-13 08:00:00,70,56.5,70,53.3333333333333,70,51.8571428571429,70,71.1428571428571,160
8,2013-03-14 07:43:00,180,125,180,97.6666666666667,180,69.8571428571429,180,72.5714285714286,180
9,2013-03-16 11:02:00,294,297,300,258,300,140.428571428571,300,100.714285714286,300
11,2013-03-23 10:15:00,162,173,184,178.333333333333,189,231.714285714286,318,186.071428571429,318
13,2013-03-25 09:26:00,175,176.5,178,171.666666666667,178,194.428571428571,261,204.428571428571,318
14,2013-03-26 09:38:00,200,187.5,200,184.333333333333,200,185.714285714286,212,215.642857142857,318
15,2013-03-26 22:22:00,200,187.5,200,184.333333333333,200,185.714285714286,212,215.642857142857,318
16,2013-03-28 03:30:00,605,680.5,756,520.333333333333,756,322.857142857143,756,295,756
18,2013-03-31 10:15:00,156,219,282,261,345,359.857142857143,756,287.357142857143,756
19,2013-04-03 13:30:00,121,166.5,212,180.333333333333,212,275.571428571429,605,269.5,756
22,2013-04-18 14:55:00,24.7,23.85,24.7,23.9666666666667,24.7,25.1428571428571,30.9,50.6785714285714,177
24,2013-06-01 21:36:00,6.66,6.135,6.66,6.14333333333333,6.66,7.47285714285714,10.7,11.9678571428571,25.5
26,2013-06-07 08:58:00,5.31,5.63,5.95,6.55,8.39,11.5871428571429,23.9,10.1328571428571,23.9
27,2013-06-08 23:09:00,6.62,5.965,6.62,5.96,6.62,11.5814285714286,23.9,9.52714285714286,23.9
28,2013-06-24 05:42:00,65.1,33.555,65.1,23.1866666666667,65.1,11.8514285714286,65.1,11.8214285714286,65.1
29,2013-06-25 12:44:00,113,89.05,113,60.0366666666667,113,27.4271428571429,113,19.1864285714286,113
35,2013-10-17 22:15:00,3.62,2.115,3.62,1.59,3.62,1.04714285714286,3.62,0.935714285714286,3.62
36,2013-10-22 17:13:00,4.37,5.395,6.42,7.49666666666667,11.7,10.4171428571429,23.7,5.51928571428571,23.7
38,2013-11-02 18:30:00,4.94,4.325,4.94,4.22,4.94,6.37142857142857,11.7,13.3635714285714,44.2
39,2013-11-03 07:45:00,80.5,42.72,80.5,29.7166666666667,80.5,16.2,80.5,18.2778571428571,80.5
40,2014-02-24 16:45:00,2.98,2.765,2.98,2.6,2.98,2.12714285714286,2.98,1.97642857142857,2.98
41,2014-02-28 08:45:00,4.28,4.17,4.28,4.02666666666667,4.28,3.32428571428571,4.28,2.48642857142857,4.28
42,2014-03-01 13:41:00,4.56,4.42,4.56,4.3,4.56,3.65142857142857,4.56,2.70428571428571,4.56
44,2014-03-04 13:45:00,5.14,5.06,5.14,4.97,5.14,4.50714285714286,5.14,3.44642857142857,5.14
47,2014-03-13 14:30:00,46.8,43.15,46.8,39.8333333333333,46.8,27.52,46.8,16.3221428571429,46.8
48,2014-03-14 08:00:00,71.8,59.3,71.8,52.7,71.8,36.4714285714286,71.8,21.145,71.8
53,2014-03-29 13:12:00,65.7,51.8,65.7,49.8666666666667,65.7,60.8714285714286,78.4,97.1,218
54,2014-03-30 01:56:00,273,169.35,273,125.533333333333,273,88.6714285714286,273,103.742857142857,273
55,2014-03-30 17:15:00,273,169.35,273,125.533333333333,273,88.6714285714286,273,103.742857142857,273
56,2014-03-31 07:46:00,886,579.5,886,408.233333333333,886,204.6,886,151.457142857143,886
57,2014-04-15 02:45:00,45.5,35.75,45.5,34.3333333333333,45.5,36.9,47.2,61.6642857142857,173
58,2014-04-15 15:59:00,45.5,35.75,45.5,34.3333333333333,45.5,36.9,47.2,61.6642857142857,173
59,2014-04-16 13:49:00,106,75.75,106,59.1666666666667,106,47.3285714285714,106,56.8785714285714,122
68,2014-05-18 18:00:00,27.9,17.235,27.9,14.1466666666667,27.9,12.2585714285714,27.9,23.4364285714286,74.8
69,2014-05-18 20:46:00,27.9,17.235,27.9,14.1466666666667,27.9,12.2585714285714,27.9,23.4364285714286,74.8
82,2014-08-11 08:32:00,2.72,3.06,3.4,3.65333333333333,4.84,9.60285714285714,21.2,7.095,21.2
84,2014-08-22 05:15:00,110,57.87,110,39.1433333333333,110,17.8571428571429,110,10.7442857142857,110
86,2014-09-06 03:20:00,2.65,2.515,2.65,2.61333333333333,2.81,4.23571428571429,8.36,5.97928571428571,16.3
87,2014-09-07 00:02:00,34.6,18.625,34.6,13.21,34.6,7.98428571428571,34.6,7.28642857142857,34.6
89,2014-09-19 05:17:00,7.91,5.265,7.91,4.33333333333333,7.91,3.45,7.91,10.26,44.8
90,2014-09-29 18:31:00,2.61,2.495,2.61,2.55333333333333,2.67,3.68,6.85,5.33928571428571,12.9
92,2014-10-01 02:53:00,151,135,151,90.87,151,40.5971428571429,151,24.2907142857143,151
94,2014-11-09 15:45:00,4.04,3.51,4.04,3.32,4.04,3.55428571428571,4.39,5.32428571428571,9.16
97,2014-12-01 20:17:00,56.7,40.2,56.7,28.6966666666667,56.7,15.7028571428571,56.7,11.5435714285714,56.7
101,2014-12-09 03:11:00,42.3,31.2,42.3,26.9,42.3,41.0857142857143,86,33.7842857142857,86
105,2015-02-22 13:00:00,45.3,36.25,45.3,31.1,45.3,17.0214285714286,45.3,9.28357142857143,45.3
106,2015-02-23 10:59:00,68.3,56.8,68.3,46.9333333333333,68.3,26.5871428571429,68.3,14.0185714285714,68.3
107,2015-02-24 09:15:00,89.9,79.1,89.9,67.8333333333333,89.9,39.1428571428571,89.9,20.3228571428571,89.9
109,2015-03-26 03:00:00,62.6,39.65,62.6,32,62.6,23.1571428571429,62.6,17.8571428571429,62.6
110,2015-03-26 13:45:00,62.6,39.65,62.6,32,62.6,23.1571428571429,62.6,17.8571428571429,62.6
111,2015-03-26 19:01:00,62.6,39.65,62.6,32,62.6,23.1571428571429,62.6,17.8571428571429,62.6
115,2015-05-03 16:46:00,4.56,4.33,4.56,4.23666666666667,4.56,4.82571428571429,6.98,5.18071428571429,6.98
116,2015-05-10 19:08:00,3.26,3.15,3.26,3.40666666666667,3.92,8.26,22.7,6.54285714285714,22.7
118,2015-05-12 15:13:00,70.7,71.25,71.8,48.5866666666667,71.8,23.5028571428571,71.8,15.9157142857143,71.8
120,2015-05-15 21:13:00,14.9,19.9,24.9,25.4666666666667,36.6,32.1714285714286,71.8,20.3842857142857,71.8
122,2015-05-25 13:45:00,9.21,8.56,9.21,8.68,9.21,13.1771428571429,25.1,36.6885714285714,142
123,2015-05-28 11:45:00,7.16,8.505,9.85,8.79,9.85,9.04428571428571,10.9,29.1292857142857,142
124,2015-06-01 15:35:00,32,41.45,50.9,78.3,152,47.6242857142857,152,30.4007142857143,152
125,2015-06-08 11:15:00,15.9,14.75,15.9,15.8666666666667,18.1,50.1571428571429,145,48.8907142857143,152
127,2015-09-05 00:35:00,19.7,10.195,19.7,6.95333333333333,19.7,3.82857142857143,19.7,12.59,63.8
128,2015-10-17 10:56:00,2.85,3.155,3.46,3.19666666666667,3.46,2.28571428571429,3.46,1.50571428571429,3.46
129,2015-11-03 17:02:00,2.3,2.29,2.3,2.45333333333333,2.78,2.65428571428571,3.52,2.48714285714286,3.52
130,2015-11-12 14:27:00,5.25,3.625,5.25,3.16666666666667,5.25,4.95428571428571,11.8,5.87214285714286,20.3
131,2015-11-16 23:00:00,18.1,25.55,33,53.3666666666667,109,41.3714285714286,120,25.02,120
135,2015-11-29 04:40:00,122,64.31,122,45.27,122,24.7242857142857,122,31.2407142857143,122
136,2015-11-29 13:05:00,122,64.31,122,45.27,122,24.7242857142857,122,31.2407142857143,122
138,2015-12-02 05:44:00,255,475,695,686.666666666667,1110,314.821428571429,1110,166.547857142857,1110
139,2015-12-09 05:45:00,48.3,43.75,48.3,44.0333333333333,48.3,75.3142857142857,176,195.067857142857,1110
140,2016-02-05 16:30:00,10.8,9.32,10.8,9.36,10.8,8.66428571428571,10.8,9.04571428571429,12.6
141,2016-02-06 09:19:00,68.3,39.55,68.3,28.98,68.3,17.4385714285714,68.3,13.3585714285714,68.3
142,2016-02-07 10:52:00,191,129.65,191,90.0333333333333,191,43.6628571428571,191,26.3807142857143,191
146,2016-02-14 08:15:00,126,83.45,126,70.1666666666667,126,69.0428571428571,126,56.3528571428571,191
147,2016-02-21 14:45:00,39.5,40.2,40.9,43.2,49.2,70.0571428571429,130,69.55,130
148,2016-02-21 20:47:00,39.5,40.2,40.9,43.2,49.2,70.0571428571429,130,69.55,130
149,2016-02-22 05:42:00,126,82.75,126,68.8,126,69.4857142857143,126,71.1214285714286,130
150,2016-02-23 05:46:00,345,235.5,345,170.166666666667,345,104.885714285714,345,91.0357142857143,345
151,2016-02-24 02:22:00,397,371,397,289.333333333333,397,150.857142857143,397,115.492857142857,397
153,2016-02-28 16:30:00,68.6,75.8,83,87.2,110,194.657142857143,397,132.357142857143,397
154,2016-03-01 15:45:00,97.2,99.6,102,89.2666666666667,102,155.828571428571,397,130.357142857143,397
155,2016-03-12 11:30:00,56.1,41.65,56.1,38.0333333333333,56.1,43.7428571428571,63.5,131.8,633
156,2016-03-13 06:48:00,250,153.05,250,111.1,250,70.3857142857143,250,144.757142857143,633
157,2016-03-17 00:17:00,341,204.75,341,171.833333333333,341,156.828571428571,341,108.992857142857,341
158,2016-03-17 11:48:00,341,204.75,341,171.833333333333,341,156.828571428571,341,108.992857142857,341
165,2016-05-27 21:00:00,4.18,3.815,4.18,3.89,4.18,4.41428571428571,5.03,5.49142857142857,8.54
167,2016-06-01 18:54:00,9.79,8.425,9.79,7.69666666666667,9.79,7.44571428571429,12.9,6.47285714285714,12.9
168,2016-06-12 03:57:00,16,9.6,16,7.81666666666667,16,7.19285714285714,16,20.0171428571429,107
169,2016-06-16 16:20:00,4.15,4.725,5.3,6.22333333333333,9.22,9.00285714285714,20.9,13.5514285714286,62.3
171,2016-08-23 19:08:00,0.81,0.78,0.81,0.796666666666667,0.83,1.19,2,2.20285714285714,6.24
172,2016-08-27 04:49:00,6.84,7.07,7.3,9.78,15.2,5.17142857142857,15.2,3.56928571428571,15.2
179,2016-09-07 22:32:00,3.68,4.17,4.66,4.94,6.48,8.98,21.1,14.3857142857143,53.5
181,2016-09-08 07:27:00,53.4,28.54,53.4,20.58,53.4,13.5942857142857,53.4,17.1142857142857,53.5
182,2016-09-11 16:40:00,24,31.7,39.4,54.3,99.5,33.0171428571429,99.5,26.3114285714286,99.5
184,2016-10-12 06:52:00,17.4,10.055,17.4,7.64666666666667,17.4,5.19,17.4,7.55857142857143,22.3
186,2016-11-14 00:57:00,17.2,11.645,17.2,9.98666666666667,17.2,7.02571428571429,17.2,5.76357142857143,17.2
187,2016-11-14 14:12:00,17.2,11.645,17.2,9.98666666666667,17.2,7.02571428571429,17.2,5.76357142857143,17.2
193,2017-01-04 09:14:00,95.2,69.05,95.2,48.89,95.2,26.0842857142857,95.2,16.5414285714286,95.2
196,2017-01-09 08:41:00,262,274.5,287,241.666666666667,287,153.728571428571,287,82.0242857142857,287
197,2017-01-10 07:00:00,187,224.5,262,245.333333333333,287,174.314285714286,287,94.8564285714286,287
200,2017-01-29 10:45:00,14.2,13.35,14.2,12.6333333333333,14.2,11.7,14.2,15.6142857142857,32.4
203,2017-02-03 11:45:00,46.1,51.1,56.1,58.7333333333333,74,38.4,74,25.0285714285714,74
204,2017-02-04 07:45:00,73.4,59.75,73.4,58.5333333333333,73.4,47.1,74,29.2928571428571,74
205,2017-02-05 08:00:00,139,106.2,139,86.1666666666667,139,64.9285714285714,139,38.3142857142857,139
206,2017-02-06 06:30:00,134,136.5,139,115.466666666667,139,81,139,47.0357142857143,139
207,2017-02-06 18:04:00,134,136.5,139,115.466666666667,139,81,139,47.0357142857143,139
210,2017-02-14 03:15:00,96.7,73.45,96.7,67.1666666666667,96.7,102.6,223,104.485714285714,223
211,2017-02-14 22:07:00,96.7,73.45,96.7,67.1666666666667,96.7,102.6,223,104.485714285714,223
