"unique_storm_number","days_since_planting","days_since_fertilizer","days_since_cultivation","days_since_disturbance"
1,0,77,72,10
3,0,96,91,10
5,0,135,130,10
7,0,153,148,10
8,0,154,149,10
9,0,156,151,10
11,0,163,158,10
13,0,165,160,10
14,0,166,161,10
15,0,166,161,10
16,0,168,163,10
18,0,171,166,10
19,0,174,169,10
22,0,189,184,10
24,10,12,12,10
26,16,18,18,10
27,17,19,19,10
28,30,35,35,10
29,30,36,36,10
35,0,98,1,1
36,0,103,6,6
38,0,114,17,10
39,0,115,18,10
40,0,228,131,10
41,0,232,135,10
42,0,233,136,10
44,0,236,139,10
47,0,245,148,10
48,0,246,149,10
53,0,261,164,10
54,0,262,165,10
55,0,262,165,10
56,0,263,166,10
57,0,278,181,10
58,0,278,181,10
59,0,279,182,10
68,2,2,3,2
69,2,2,3,2
82,30,87,88,10
84,30,98,99,10
86,30,113,114,10
87,30,114,115,10
89,30,126,127,10
90,30,136,137,10
92,0,138,139,0
94,0,177,24,10
97,0,199,46,10
101,0,207,54,10
105,0,282,129,10
106,0,283,130,10
107,0,284,131,10
109,0,314,161,10
110,0,314,161,10
111,0,314,161,10
115,18,18,19,10
116,25,25,26,10
118,27,27,28,10
120,30,30,31,10
122,30,40,41,10
123,30,43,44,10
124,30,47,48,10
125,30,54,55,10
127,30,71,144,10
128,0,11,11,10
129,0,12,12,10
130,0,21,21,10
131,0,25,25,10
135,0,38,38,10
136,0,38,38,10
138,0,41,41,10
139,0,48,48,10
140,0,106,106,10
141,0,107,107,10
142,0,108,108,10
146,0,115,115,10
147,0,122,122,10
148,0,122,122,10
149,0,123,123,10
150,0,124,124,10
151,0,125,125,10
153,0,129,129,10
154,0,131,131,10
155,0,142,142,10
156,0,143,143,10
157,0,147,147,10
158,0,147,147,10
165,22,23,25,0
167,27,28,30,5
168,30,39,41,10
169,30,43,45,10
171,30,111,113,10
172,30,115,117,10
179,30,126,128,10
181,30,127,129,10
182,30,130,132,10
184,0,161,163,10
186,0,194,14,10
187,0,194,14,10
193,0,245,65,10
196,0,250,70,10
197,0,251,71,10
200,0,270,90,10
203,0,275,95,10
204,0,276,96,10
205,0,277,97,10
206,0,278,98,10
207,0,278,98,10
210,0,286,106,10
211,0,286,106,10
212,0,291,111,10
213,0,293,113,10
214,0,310,130,10
215,0,311,131,10
216,0,312,132,10
217,0,316,136,10
219,0,320,140,10
221,0,332,152,10
222,0,332,152,10
223,0,337,157,10
224,0,337,157,10
225,0,344,164,10
226,0,348,168,10
227,0,348,168,10
228,17,6,17,6
231,28,17,28,10
232,30,21,32,10
233,30,21,32,10
236,30,25,36,10
241,30,48,59,10
246,30,62,62,10
247,30,73,73,10
249,30,77,77,10
250,30,97,97,10
252,30,105,105,10
254,30,106,106,10
257,30,152,152,10
259,30,154,154,10
262,30,162,162,10
263,30,163,163,10
264,30,164,164,10
278,30,80,93,10
279,30,80,93,10
280,30,80,93,10
281,30,81,94,10
282,30,86,99,10
284,30,88,101,10
287,30,104,117,10
