"unique_storm_number","sub_storms","suspended_sediment_load_pounds","chloride_load_pounds","no2_no3n_load_pounds","ammonium_n_load_pounds","tkn_unfiltered_load_pounds","orthophosphate_load_pounds","tp_unfiltered_load_pounds","total_nitrogen_load_pounds","organic_nitrogen_load_pounds","sum_runoff","sample_start","sample_end","storm_start","storm_end","peak_discharge","runoff_volume","frozen","X","stormnum","rain_startdate","rain_enddate","rain","duration","Ievent","I5","I10","I15","I30","I60","energy_m1","erosivity_m1","energy_m2","erosivity_m2","ARFdays1","ARFdays2","ARFdays7","ARFdays14","ant_discharge_date","ant_dis_1day_max","ant_dis_2day_mean","ant_dis_2day_max","ant_dis_3day_mean","ant_dis_3day_max","ant_dis_7day_mean","ant_dis_7day_max","ant_dis_14day_mean","ant_dis_14day_max","sin_sdate","cos_sdate","tmax","tmin","snwd_diff","days_since_planting","days_since_fertilizer","days_since_cultivation","days_since_disturbance"
1,"ESW2-1",37199.7,558.8,144.02,16.04,57.24,6.19,14.4,201.26,41.21,72775,"2013-01-10 20:00:00","2013-01-10 20:00:00","2013-01-10 19:53:00","2013-01-13 21:34:00",1.6655,72775,1,1,1,"2013-01-10 19:16:00","2013-01-11 09:18:00",0.34,14.0333333333333,0.0242280285035629,0.24,0.18,0.16,0.16,0.13,140.591807130452,0.224946891408723,166.571152936969,0.26651384469915,0,0,0,0,"2012-12-27 19:53:00",3.7,3.7,3.7,3.71666666666667,3.75,3.73285714285714,3.82,3.88,4.44,0.188226709843243,0.982125605868001,7.2,-11.7,-7.0078778,0,77,72,10
3,"ESW2-2",1021.5,30.4,9.51,2.88,11.17,2.78,4.23,20.67,8.28,49136,"2013-01-29 02:53:00","2013-01-29 02:53:00","2013-01-29 02:49:00","2013-01-30 11:03:00",1.866,49136,1,2,2,"2013-01-29 01:24:00","2013-01-30 06:27:00",0.8,29.05,0.0275387263339071,1.2,0.66,0.52,0.52,0.4,544.279967961087,2.83025583339765,542.625539584926,2.82165280584162,0,0,0,0,"2013-01-15 02:49:00",27,16,27,11.6666666666667,27,6.42857142857143,27,6.94285714285714,27,0.478733840115788,0.877960084700888,7.2,-8.9,3.9763801,0,96,91,10
5,"ESW2-3",529.4,17.2,9.85,5.79,17.24,4.03,6.04,27.08,11.45,193847,"2013-03-09 17:42:00","2013-03-09 17:42:00","2013-03-09 17:31:00","2013-03-15 21:26:00",2.552,193847,1,3,3,"2013-03-09 16:20:00","2013-03-11 16:09:00",1.3,46.8166666666667,0.0277678889284443,0.24,0.24,0.2,0.18,0.15,573.652293576184,1.03257412843713,690.339280556547,1.24261070500178,0,0,0,0,"2013-02-23 17:31:00",17,15.5,17,14.6666666666667,17,14.1428571428571,17,15.1428571428571,17,0.920971287716634,0.389630449530789,3.3,-9.4,-4.0157502,0,135,130,10
7,"ESW2-4a",2241.1,18.6,3.29,2.19,13.67,2.16,4.94,16.96,11.48,58562,"2013-03-27 08:00:00","2013-03-27 08:00:00","2013-03-27 08:00:00","2013-03-28 07:43:00",3.03,58562,1,4,4,"2013-03-27 08:00:00","2013-03-27 08:01:00",0,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2013-03-13 08:00:00",70,56.5,70,53.3333333333333,70,51.8571428571429,70,71.1428571428571,160,0.995918996147179,0.0902516100310421,7.2,-3.3,-2.0078751,0,153,148,10
8,"ESW2-4b",225066.2,72,7.26,5.14,180.93,2.17,121.03,188.2,175.79,96932,"2013-03-28 07:43:00","2013-03-28 07:43:00","2013-03-28 07:43:00","2013-03-30 11:02:00",2.3313,96932,1,5,5,"2013-03-28 07:43:00","2013-03-28 07:44:00",0,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2013-03-14 07:43:00",180,125,180,97.6666666666667,180,69.8571428571429,180,72.5714285714286,180,0.997324973108155,0.0730951298980782,8.9,-3.3,-3.0314977,0,154,149,10
9,"ESW2-4c",1082.8,65.7,5.73,7.37,15.93,4.31,5.82,21.66,8.56,39874,"2013-03-30 11:02:00","2013-03-30 11:02:00","2013-03-30 11:02:00","2013-03-31 23:10:00",1.1224,39874,1,6,6,"2013-03-30 11:02:00","2013-03-30 22:15:00",0.09,11.2166666666667,0.00802377414561664,0.12,0.12,0.08,0.08,0.06,38.5692889912003,0.0308554311929602,42.1590982542886,0.0337272786034309,0,0,0,0,"2013-03-16 11:02:00",294,297,300,258,300,140.428571428571,300,100.714285714286,300,0.999250011239683,0.0387222808921754,7.2,-1.7,-2.0078751,0,156,151,10
11,"ESW2-4e",10.6,13.6,0.29,1.01,1.75,0.28,0.33,2.04,0.73,2618,"2013-04-06 10:15:00","2013-04-06 10:15:00","2013-04-06 10:15:00","2013-04-07 06:00:00",0.0781,2618,1,7,7,"2013-04-06 09:12:00","2013-04-07 01:09:00",0.04,15.95,0.00250783699059561,0.12,0.06,0.04,0.04,0.02,18.5260864342767,0.00741043457371068,12.9271777018036,0.00517087108072146,0,0,0.09,0.09,"2013-03-23 10:15:00",162,173,184,178.333333333333,189,231.714285714286,318,186.071428571429,318,0.99665890175417,-0.0816763953304215,10,-1,0,0,163,158,10
13,"ESW2-5a",110.7,43.9,2.3,2.61,5,0.66,0.9,7.3,2.39,6566,"2013-04-08 09:26:00","2013-04-08 09:26:00","2013-04-08 09:26:00","2013-04-09 09:38:00",0.2816,6566,1,8,8,"2013-04-08 09:14:00","2013-04-09 09:36:00",0.24,24.3666666666667,0.00984952120383037,0.24,0.24,0.16,0.12,0.1,117.374778002379,0.140849733602855,135.105075722563,0.162126090867075,0,0.03,0.04,0.13,"2013-03-25 09:26:00",175,176.5,178,171.666666666667,178,194.428571428571,261,204.428571428571,318,0.993256849267414,-0.1159345995955,3.9,0,0,0,165,160,10
14,"ESW2-5b",3928.8,165.9,23.95,8.24,35.17,2.85,9.19,59.12,26.93,34560,"2013-04-09 09:38:00","2013-04-09 09:38:00","2013-04-09 09:38:00","2013-04-09 22:22:00",4.241,34560,1,9,9,"2013-04-09 09:36:00","2013-04-09 16:31:00",0.6,6.91666666666667,0.0867469879518072,0.6,0.6,0.52,0.4,0.34,386.358436707839,1.54543374683136,411.779459445555,1.64711783778222,0.18,0.23,0.27,0.36,"2013-03-26 09:38:00",200,187.5,200,184.333333333333,200,185.714285714286,212,215.642857142857,318,0.991114063993455,-0.133014706534195,2.8,0,0,0,166,161,10
15,"ESW2-5c",4744.4,433.6,89.55,20.27,64.41,8.8,16.89,153.96,44.15,125824,"2013-04-09 22:22:00","2013-04-09 22:22:00","2013-04-09 22:22:00","2013-04-11 03:30:00",7.68,125824,1,10,10,"2013-04-09 22:22:00","2013-04-10 21:28:00",0.76,23.1,0.0329004329004329,2.04,1.2,0.8,0.44,0.23,432.126661141532,1.90135730902274,468.63596051824,2.06199822628025,0.61,0.84,0.88,0.97,"2013-03-26 22:22:00",200,187.5,200,184.333333333333,200,185.714285714286,212,215.642857142857,318,0.98867759023234,-0.150055398344652,2.8,-0.5,1.968505,0,166,161,10
16,"ESW2-5d",5558.6,196.6,32.23,10.15,26.37,3.14,6.85,58.6,16.22,42664,"2013-04-11 03:30:00","2013-04-11 03:30:00","2013-04-11 03:30:00","2013-04-12 09:11:00",1.1259,42664,1,11,11,"2013-04-11 03:30:00","2013-04-12 05:23:00",0.22,25.8833333333333,0.00849967804249839,0.12,0.12,0.12,0.08,0.07,85.846921247376,0.0686775369979008,86.1739487229909,0.0689391589783927,0.51,1.37,1.64,1.73,"2013-03-28 03:30:00",605,680.5,756,520.333333333333,756,322.857142857143,756,295,756,0.985948149963831,-0.167051625502118,2.2,-0.5,-1.181103,0,168,163,10
18,"ESW2-5e",26627.6,152.7,18.84,8.11,26.21,2.15,8.7,45.04,18.1,32797,"2013-04-14 10:15:00","2013-04-14 10:15:00","2013-04-14 10:15:00","2013-04-16 15:15:00",2.0008,32797,1,12,12,"2013-04-14 10:15:00","2013-04-15 14:57:00",0.39,28.7,0.013588850174216,0.36,0.36,0.32,0.24,0.2,220.285356555905,0.528684855734171,242.964126369611,0.583113903287066,0,0,1.82,1.86,"2013-03-31 10:15:00",156,219,282,261,345,359.857142857143,756,287.357142857143,756,0.976010550632369,-0.217723230396531,15.6,-3.2,-3.149608,0,171,166,10
