"unique_storm_number","sub_storms","suspended_sediment_load_pounds","chloride_load_pounds","no2_no3n_load_pounds","ammonium_n_load_pounds","tkn_unfiltered_load_pounds","orthophosphate_load_pounds","tp_unfiltered_load_pounds","total_nitrogen_load_pounds","organic_nitrogen_load_pounds","sum_runoff","sample_start","sample_end","storm_start","storm_end","peak_discharge","runoff_volume","frozen"
1,"ESW2-1",37199.7,558.8,144.02,16.04,57.24,6.19,14.4,201.26,41.21,72775,2013-01-10 20:00:00,2013-01-10 20:00:00,2013-01-10 19:53:00,2013-01-13 21:34:00,1.6655,72775,1
3,"ESW2-2",1021.5,30.4,9.51,2.88,11.17,2.78,4.23,20.67,8.28,49136,2013-01-29 02:53:00,2013-01-29 02:53:00,2013-01-29 02:49:00,2013-01-30 11:03:00,1.866,49136,1
5,"ESW2-3",529.4,17.2,9.85,5.79,17.24,4.03,6.04,27.08,11.45,193847,2013-03-09 17:42:00,2013-03-09 17:42:00,2013-03-09 17:31:00,2013-03-15 21:26:00,2.552,193847,1
7,"ESW2-4a",2241.1,18.6,3.29,2.19,13.67,2.16,4.94,16.96,11.48,58562,2013-03-27 08:00:00,2013-03-27 08:00:00,2013-03-27 08:00:00,2013-03-28 07:43:00,3.03,58562,1
8,"ESW2-4b",225066.2,72,7.26,5.14,180.93,2.17,121.03,188.2,175.79,96932,2013-03-28 07:43:00,2013-03-28 07:43:00,2013-03-28 07:43:00,2013-03-30 11:02:00,2.3313,96932,1
9,"ESW2-4c",1082.8,65.7,5.73,7.37,15.93,4.31,5.82,21.66,8.56,39874,2013-03-30 11:02:00,2013-03-30 11:02:00,2013-03-30 11:02:00,2013-03-31 23:10:00,1.1224,39874,1
11,"ESW2-4e",10.6,13.6,0.29,1.01,1.75,0.28,0.33,2.04,0.73,2618,2013-04-06 10:15:00,2013-04-06 10:15:00,2013-04-06 10:15:00,2013-04-07 06:00:00,0.0781,2618,1
13,"ESW2-5a",110.7,43.9,2.3,2.61,5,0.66,0.9,7.3,2.39,6566,2013-04-08 09:26:00,2013-04-08 09:26:00,2013-04-08 09:26:00,2013-04-09 09:38:00,0.2816,6566,1
14,"ESW2-5b",3928.8,165.9,23.95,8.24,35.17,2.85,9.19,59.12,26.93,34560,2013-04-09 09:38:00,2013-04-09 09:38:00,2013-04-09 09:38:00,2013-04-09 22:22:00,4.241,34560,1
15,"ESW2-5c",4744.4,433.6,89.55,20.27,64.41,8.8,16.89,153.96,44.15,125824,2013-04-09 22:22:00,2013-04-09 22:22:00,2013-04-09 22:22:00,2013-04-11 03:30:00,7.68,125824,1
16,"ESW2-5d",5558.6,196.6,32.23,10.15,26.37,3.14,6.85,58.6,16.22,42664,2013-04-11 03:30:00,2013-04-11 03:30:00,2013-04-11 03:30:00,2013-04-12 09:11:00,1.1259,42664,1
18,"ESW2-5e",26627.6,152.7,18.84,8.11,26.21,2.15,8.7,45.04,18.1,32797,2013-04-14 10:15:00,2013-04-14 10:15:00,2013-04-14 10:15:00,2013-04-16 15:15:00,2.0008,32797,1
19,"ESW2-6",175.4,105,8.35,5.17,10.4,1.54,2.01,18.75,5.24,19380,2013-04-17 13:45:00,2013-04-17 13:45:00,2013-04-17 13:30:00,2013-04-20 02:02:00,0.345,19380,0
22,"ESW2-7",7264,122,30.26,1.67,10.62,1.14,3.45,40.88,8.95,29367,2013-05-02 15:01:00,2013-05-02 15:01:00,2013-05-02 14:55:00,2013-05-07 07:15:00,0.8633,29367,0
24,"ESW2-8",681.4,36.5,5.01,0.06,2.47,0.11,0.96,7.48,2.41,4035,2013-06-15 21:37:00,2013-06-15 21:37:00,2013-06-15 21:36:00,2013-06-16 16:00:00,1.02,4035,0
26,"ESW2-9",932.6,14.3,1.58,0.05,3.24,0.1,1.24,4.82,3.2,4441,2013-06-21 08:59:00,2013-06-21 08:59:00,2013-06-21 08:58:00,2013-06-21 16:15:00,0.98,4441,0
27,"ESW2-10",3428,31,4.03,0.09,11.83,0.39,4.32,15.86,11.74,14040,2013-06-22 23:15:00,2013-06-22 23:15:00,2013-06-22 23:09:00,2013-06-23 08:08:00,5.21,14040,0
28,"ESW2-11",23546.1,143,21.77,1.24,59.85,2.39,23.15,81.62,58.62,79237,2013-07-08 05:43:00,2013-07-08 05:43:00,2013-07-08 05:42:00,2013-07-08 13:33:00,21.84,79237,0
