"unique_storm_number","date","sw2_rain","sw1_rain","daily_rain","daily_rmk","storm_start","storm_end"
1,2013-01-10,0.34,0.261,0.22,"A",2013-01-10 19:53:00,2013-01-13 21:34:00
3,2013-01-29,0.8,0.64,0.7,"A",2013-01-29 02:49:00,2013-01-30 11:03:00
5,2013-03-09,1.3,1.179,0.4,"A",2013-03-09 17:31:00,2013-03-15 21:26:00
7,2013-03-27,0,0,0,"A",2013-03-27 08:00:00,2013-03-28 07:43:00
8,2013-03-28,0,0,0,"A",2013-03-28 07:43:00,2013-03-30 11:02:00
9,2013-03-30,0.09,0.081,0.08,"A",2013-03-30 11:02:00,2013-03-31 23:10:00
11,2013-04-06,0.04,0.036,0.03,"A",2013-04-06 10:15:00,2013-04-07 06:00:00
13,2013-04-08,0.24,0.207,0.21,"A",2013-04-08 09:26:00,2013-04-09 09:38:00
14,2013-04-09,0.6,0.549,0.54,"A",2013-04-09 09:38:00,2013-04-09 22:22:00
15,2013-04-09,0.76,0.32,0.54,"A",2013-04-09 22:22:00,2013-04-11 03:30:00
16,2013-04-11,0.22,0.162,0.16,"A",2013-04-11 03:30:00,2013-04-12 09:11:00
18,2013-04-14,0.39,0.387,0.05,"A",2013-04-14 10:15:00,2013-04-16 15:15:00
19,2013-04-17,0.39,0.342,0.2,"A",2013-04-17 13:30:00,2013-04-20 02:02:00
22,2013-05-02,1.59,1.847,0.86,"A",2013-05-02 14:55:00,2013-05-07 07:15:00
24,2013-06-15,0.89,0.627,0.81,"A",2013-06-15 21:36:00,2013-06-16 16:00:00
26,2013-06-21,0.67,0.343,0.62,"A",2013-06-21 08:58:00,2013-06-21 16:15:00
27,2013-06-22,0.42,0.351,0.33,"A",2013-06-22 23:09:00,2013-06-23 08:08:00
28,2013-07-08,2.23,1.798,2.04,"A",2013-07-08 05:42:00,2013-07-08 13:33:00
29,2013-07-09,0.22,0.09,0.2,"A",2013-07-09 12:44:00,2013-07-09 15:41:00
35,2013-10-31,0,1.152,1.3,"A e",2013-10-31 22:15:00,2013-11-01 13:15:00
36,2013-11-05,0.95,0.855,0.52,"A",2013-11-05 16:13:00,2013-11-07 03:00:00
38,2013-11-16,0,0.299,0.4,"A e",2013-11-16 17:30:00,2013-11-17 07:45:00
39,2013-11-17,0.01,0.81,0.8,"A e",2013-11-17 07:45:00,2013-11-18 18:45:00
40,2014-03-10,0,0,0,"A",2014-03-10 17:45:00,2014-03-14 09:45:00
41,2014-03-14,0,0,0,"A",2014-03-14 09:45:00,2014-03-15 14:41:00
42,2014-03-15,0,0,0,"A",2014-03-15 14:41:00,2014-03-16 00:39:00
44,2014-03-18,0,0,0,"A",2014-03-18 14:45:00,2014-03-21 08:30:00
47,2014-03-27,0.59,0.477,0.53,"A",2014-03-27 14:30:00,2014-03-28 08:00:00
48,2014-03-28,0,0,0,"A e",2014-03-28 08:00:00,2014-03-28 22:30:00
53,2014-04-12,1.1,1.083,0.96,"A",2014-04-12 13:12:00,2014-04-13 01:56:00
54,2014-04-13,0.55,0.459,1.47,"A",2014-04-13 01:56:00,2014-04-13 17:15:00
55,2014-04-13,1.35,1.143,1.47,"A",2014-04-13 17:15:00,2014-04-14 07:46:00
56,2014-04-14,0,0.045,0.23,"A",2014-04-14 07:46:00,2014-04-15 02:15:00
57,2014-04-29,0.29,0.198,0.46,"A",2014-04-29 02:45:00,2014-04-29 15:59:00
58,2014-04-29,0.22,0.18,0.46,"A",2014-04-29 15:59:00,2014-04-30 13:49:00
59,2014-04-30,0.1,0.054,0.08,"A",2014-04-30 13:49:00,2014-05-01 17:45:00
68,2014-06-01,1.82,1.551,2.13,"A",2014-06-01 18:00:00,2014-06-01 20:46:00
69,2014-06-01,2.14,1.852,2.13,"A",2014-06-01 20:46:00,2014-06-01 23:01:00
82,2014-08-25,0.87,0.364,0.81,"A",2014-08-25 08:32:00,2014-08-25 16:00:00
