wateryear,date,activity_group,activity,current_crop,last_year_crop
12,10/1/2011,manure application,"Liquid dairy manure applied, 14-15,000 gal/acre",corn silage,corn silage
12,10/1/2011,cultivation,Manure incorporated  with field cultivator,corn silage,corn silage
12,5/1/2012,cultivation,field cultivation,corn silage,corn silage
12,5/5/2012,cultivation,field cultivation,corn silage,corn silage
12,5/6/2012,cultivation,field cultivation,corn silage,corn silage
12,5/7/2012,planting,corn planted,corn silage,corn silage
12,5/7/2012,fertilizer application,starter fertilizer (9N-23P-30K) applied at 120 lb/acre,corn silage,corn silage
12,5/9/2012,herbicide applicatoin,Roundup applied (1 qt/acre?),corn silage,corn silage
13,10/15/2012,harvest,Corn harvested for silage,corn silage,corn silage
13,10/20/2012,manure application,"Liquid dairy manure applied, 14-15,000 gal/acre",corn silage,corn silage
13,10/20/2012,cultivation,Manure incorporated  with field cultivator,corn silage,corn silage
13,6/1/2013,cultivation,Field cultivation (3x),corn silage,corn silage
13,6/8/2013,planting,Corn planted,corn silage,corn silage
13,6/8/2013,fertilizer application,Starter fertilizer (10N-14P-26K) applied at 120 lb/acre,corn silage,corn silage
14,10/1/2013,harvest,Corn harvested for silage,corn silage,corn silage
14,10/15/2013,manure application,"Liquid dairy manure applied, 14,000 gal/acre",corn silage,corn silage
14,10/15/2013,cultivation,"deep-tilled 8"" DMI ripper",corn silage,corn silage
14,6/9/2014,cultivation,Field cultivation,corn silage,corn silage
14,6/11/2014,cultivation,Field cultivation,corn silage,corn silage
14,6/12/2014,planting,Corn planted,corn silage,corn silage
14,6/12/2014,fertilizer application,starter fertilizer (9N-23P-30K) applied at 100 lb/acre,corn silage,corn silage
14,7/7/2014,fertilizer application,Added 40 units anyhydrous ammonia N per acre,corn silage,corn silage
14,9/24/2014,harvest,Corn harvested for silage,corn silage,corn silage
15,11/12/2014,manure application,"Liquid dairy manure applied, 15,000 gal/acre",corn silage,corn silage
15,11/12/2014,cultivation,"deep-tilled 8"" DMI ripper",corn silage,corn silage
15,5/10/2015,cultivation,Field cultivation (3x),corn silage,corn silage
15,5/10/2015,intervention,Grass waterway construction begins,corn silage,corn silage
15,5/20/2015,planting,Corn planted,corn silage,corn silage
15,5/20/2015,fertilizer application,starter fertilizer (9N-23P-30K) applied at 100 lb/acre,corn silage,corn silage
15,6/25/2015,fertilizer application,Added 7 gal/acre of anyhydrous ammonia,corn silage,corn silage
16,10/4/2015,harvest,Corn harvested for silage,corn silage,corn silage
16,10/9/2015,manure application,"Liquid dairy manure applied, 4,000 gal/acre",alfalfa,corn silage
16,10/9/2015,cultivation,chisel plow incorporated,alfalfa,corn silage
16,5/4/2016,cultivation,Field cultivation (3x),alfalfa,corn silage
16,5/9/2016,planting,Alfalfa direct seeded,alfalfa,corn silage
16,8/2/2016,cutting,First cutting (only) ,alfalfa,corn silage
17,6/4/2017,cutting,First cutting,alfalfa,alfalfa
17,7/3/2017,cutting,Second cutting,alfalfa,alfalfa
17,8/2/2017,cutting,Third cutting,alfalfa,alfalfa
17,8/31/2017,cutting,Fourth cutting,alfalfa,alfalfa
18,5/28/2018,cutting,1st cutting,alfalfa,alfalfa
18,6/27/2018,cutting,2nd cutting,alfalfa,alfalfa
18,7/29/2018,cutting,3rd cutting,alfalfa,alfalfa
18,8/22/2018,cutting,4th cutting,alfalfa,alfalfa
